stop_id,stop_name,stop_desc,stop_lat,stop_lon
37,-၁၀၆ (Tayar-Chauk),ကမ္ဘာအေးဘုရားလမ်း (Kabar Aye Pagoda Road),16.84295,96.156608
38,လမ်းဝ/နဝဒေး (Lan Wa/ Nawaday),သုဓမ္မာလမ်း (Thudhamar Road),16.867269,96.154778
39,(၁၀) မိုင်ကုန်း (Sae-Mile Kone),ပြည်လမ်း (Pyay Road),16.888947,96.130407
40,(၁၀) မိုင်ကုန်း (Sae-Mile Kone),ပြည်လမ်း (Pyay Road),16.889317,96.130621
41,(၁) ဂိတ် (Tit Gate),အောက်မင်္ဂလာဒုံလမ်း (Lower Mingalardon Road),16.91551400101933,96.09716179775207
42,(၁) ဂိတ် (Tit Gate),အောက်မင်္ဂလာဒုံလမ်း (Lower Mingalardon Road),16.915288559472796,96.0973123995973
43,ဂျပန်လမ်း (Japan Lan),အောက်မင်္ဂလာဒုံလမ်း (Lower Mingalardon Road),16.905062077475037,96.09768565278502
44,ဂျပန်လမ်း (Japan Lan),အောက်မင်္ဂလာဒုံလမ်း (Lower Mingalardon Road),16.90502450516036,96.09781016595663
45,ထန်းပင်ကုန်း (Htan Pin Kone),အမှတ်(၁)လမ်းမ (No. 1 Main Road),16.90029241877987,96.1243827478029
46,ထန်းပင်ကုန်း (Htan Pin Kone),အမှတ်(၁)လမ်းမ (No. 1 Main Road),16.900289331115886,96.1241097492166
47,၁၀၆ (Tayar-Chauk),ခရေပင်လမ်း (Khayae Pin Road),16.928401,96.120843
48,၁၀၆ (Tayar-Chauk),ခရေပင်လမ်း (Khayae Pin Road),16.928334,96.120741
49,နိုင်ငံရေး (Naing Ngan Yae),အမှတ်(၁)လမ်းမ (No. 1 Main Road),16.938201990686245,96.12998129334301
50,နိုင်ငံရေး (Naing Ngan Yae),အမှတ်(၁)လမ်းမ (No. 1 Main Road),16.938629,96.129552
51,(၁၂) လမ်း (Sae-Hnit Lan),အမှတ်(၃)လမ်းမ (No. 3 Main Road),16.964706,96.148168
52,(၁၂) လမ်း (Sae-Hnit Lan),အမှတ်(၃)လမ်းမ (No. 3 Main Road),16.964983,96.147943
55,နီလာ (Nilar),အမှတ်(၃)လမ်းမ (No. 3 Main Road),16.992381,96.144336
56,နီလာ (Nilar),အမှတ်(၃)လမ်းမ (No. 3 Main Road),16.99277,96.143972
